ID_platillo,Nombre,Precio,Descripción (Nulleable),Imagen,ID_subseccion
1,Huevos Revueltos,40,,'../../../images/cuckoo/p_huevos_revueltos.jpg',1
2,Huevos Estrellados,43,Servidos con tocino y salchicha,'../../../images/cuckoo/p_huevos_estrellados.jpeg',1
3,Huevos Divorciados,43,Estrellados con salsa roja y verde,'../../../images/cuckoo/p_huevos_divorciados.jpg',1
4,Huevos rancheros,47,Estrellados con jamón y salsa roja,'../../../images/cuckoo/p_huevos_rancheros.jpg',1
5,Omelette con queso,47,(Guarnición de ensalada o frijol),'../../../images/cuckoo/p_omelette_con_queso.jpg',1
6,Omelette de claras,50,(Guarnición de ensalada o frijol),'../../../images/cuckoo/p_omelette_de_claras.jpg',1
7,Omelette especial,54,Bañado en salsa roja o verde,'../../../images/cuckoo/p_omelette_especial.jpg',1
8,Salsa de huevo,45,,'../../../images/cuckoo/p_salsa_de_huevo.jpg',1
9,Salsa de queso o quesillo,45,,'../../../images/cuckoo/p_salsa_de_queso_o_quesillo.jpg',1
10,Huevos Cuckoo,60,"Revueltos con chistorra, servidos con dobladita de chorizo y aguacate",'../../../images/cuckoo/p_huevos_cuckoo.jpg',1
11,Chilaquiles,43,,'../../../images/cuckoo/p_chilaquiles.jpg',2
15,Chilaquiles divorciados,45,Salsa roja y salsa verde,'../../../images/cuckoo/p_chilaquiles.jpg',2
19,Entomatadas,43,,'../../../images/cuckoo/p_entomatadas.jpg',2
23,Enfrijoladas,43,,'../../../images/cuckoo/p_enfrijoladas.jpg',2
27,Chilaquiles Cuckoo,62,Gratinados con manchego y tasajo picado,'../../../images/cuckoo/p_chilaquiles_cuckoo.jpg',2
28,Enchiladas suizas,58,"Rellenas de pollo, bañadas en salsa verde, gratinadas con queso manchego",'../../../images/cuckoo/p_enchiladas_suizas.jpg',2
29,Enchiladas divorciadas,60,"Rellenas de pollo, bañadas en salsa roja y verde, gratinadas con queso manchego",'../../../images/cuckoo/p_enchiladas_divorciadas.jpg',2
30,Enchiladas oaxaqueñas,58,"Rellenas de pollo, bañadas en salsa de guajillo",'../../../images/cuckoo/p_enchiladas_oaxaqueñas.jpg',2
31,Enmoladas,58,"Rellenas de pollo, bañadas en mole negro oaxaqueño",'../../../images/cuckoo/p_enmoladas.jpg',2
32,Enfrijoladas Cuckoo,60,Rellenas de chorizo y gratinadas con queso manchego,'../../../images/cuckoo/p_enfrijoladas_cuckoo.jpg',2
33,Pan francés,36,,'../../../images/cuckoo/p_pan_frances.jpeg',3
34,Pan francés con nutella,40,,'../../../images/cuckoo/p_pan_frances_nutella.jpg',3
35,Pan francés con nutella y plátano,45,,'../../../images/cuckoo/p_pan_frances_nutella_platano.jpeg',3
36,Coctel de frutas,30,,'../../../images/cuckoo/p_coctel_frutas.jpg',3
37,Tazón de avena con leche,29,,'../../../images/cuckoo/p_tazon_avena_leche.jpg',3
38,Molletes,35,,'../../../images/cuckoo/p_molletes_queso.jpg',4
41,Grill sándwich con queso,45,"Tres  panes gratinados a la plancha con queso philadelphia, queso americano y queso manchego",'../../../images/cuckoo/p_grill_sandwich_queso.jpg',4
42,Sándwich montecristo,50,"Tres panes, jamón y queso manchego gratinado",'../../../images/cuckoo/p_sandwich_montecristo.jpg',4
43,Sándwich inglés,52,"Tres panes, tocino y queso manchego gratinado con mermelada de fresa",'../../../images/cuckoo/p_sandwich_ingles.jpg',4
44,Jugos,20,,'../../../images/cuckoo/p_jugo_uva.jpg',5
45,Licuados,25,,'../../../images/cuckoo/p_licuado_platano.jpeg',5
46,Malteadas,38,,'../../../images/cuckoo/p_malteada_oreo.jpeg',5
47,Memelita,16,,'../../../images/cuckoo/p_memelita.jpg',6
50,Quesadillas fritas (3pzas),48,,'../../../images/cuckoo/p_quesadillas_fritas.jpg',6
51,Tacos dorados (3pzas),45,,'../../../images/cuckoo/p_tacos_dorados.jpg',6
52,Taco blando con quesillo,20,,'../../../images/cuckoo/p_taco_blando_quesillo.jpg',6
55,Tostadas,20,,'../../../images/cuckoo/p_tostadas.jpg',6
57,Tlayuda con quesillo,45,,'../../../images/cuckoo/p_tlayuda.jpg',6
60,Torta de quesillo,20,,'../../../images/cuckoo/p_torta_quesillo.jpg',7
61,Torta de jamón con quesillo,25,,'../../../images/cuckoo/p_torta_jamon_quesillo.jpeg',7
62,Torta de choriqueso,32,,'../../../images/cuckoo/p_torta_choriqueso.jpg',7
63,Torta de tinga con quesillo,32,,'../../../images/cuckoo/p_torta_tinga_quesillo.jpg',7
64,Torta de cecina con quesillo,32,,'../../../images/cuckoo/p_torta_alambre.jpg',7
65,Torta de milanesa con quesillo,32,,'../../../images/cuckoo/p_torta_milanesa.jpg',7
66,Torta de pierna con quesillo,32,,'../../../images/cuckoo/p_torta_pierna.jpg',7
67,Torta de tasajo con quesillo,39,,'../../../images/cuckoo/p_torta_tasajo.jpg',7
68,Torta de chorizo con huevo,37,,'../../../images/cuckoo/p_torta_choriqueso.jpg',7
69,Torta al pastor,37,,'../../../images/cuckoo/p_torta_pastor.jpg',8
70,Torta cubana,38,"Pierna, jamón y queso manchego",'../../../images/cuckoo/p_torta_cubana.jpg',8
71,Torta hawaiana,28,"Pierna, jamón, quesillo y piña",'../../../images/cuckoo/p_torta_hawaiana.jpg',8
72,Torta oaxaqueña,40,"Pierna, salchicha, chorizo y quesillo",'../../../images/cuckoo/p_torta_oaxaquena.jpg',8
73,Torta regia,40,"Milanesa, pierna, jamón, queso amarillo y queso manchego",'../../../images/cuckoo/p_torta_regia.jpg',8
74,Torta de alambre,42,,'../../../images/cuckoo/p_torta_alambre.jpg',8
75,Torta Cuckoo,60,,'../../../images/cuckoo/p_torta_cuckoo.jpg',8
76,Sincronizada,20,,'../../../images/cuckoo/p_sincronizada.jpg',9
77,Sincronizada manchego,23,Con jamón y queso manchego,'../../../images/cuckoo/p_sincronizada_manchego.jpg',9
78,Sincronizada tres quesos,23,"Queso americano, queso manchego y quesillo",'../../../images/cuckoo/p_sincronizada_tres_quesos.jpg',9
79,Sincronizada champiñones,28,Quesillo y champiñones,'../../../images/cuckoo/p_sincronizada_champinones.jpg',9
80,Sincronizada cubana,30,"Pierna, jamón y queso manchego",'../../../images/cuckoo/p_sincronizada_cubana.jpg',9
81,Dobladitas,20,,'../../../images/cuckoo/p_dobladitas.jpg',9
82,Dobladitas con chorizo,30,,'../../../images/cuckoo/p_dobladitas_chorizo.jpg',9
83,Gringa al pastor,20,,'../../../images/cuckoo/p_gringa_pastor.jpg',9
84,Suiza de tasajo,23,,'../../../images/cuckoo/p_suiza_tasajo.jpg',9
85,Hot dog,20,,'../../../images/cuckoo/p_hot_dog.jpg',9
86,Hamburguesa clásica,42,,'../../../images/cuckoo/p_hamburguesa.jpeg',9
87,Hamburguesa hawaiana,45,Piña y jamón,'../../../images/cuckoo/p_hamburguesa.jpeg',9
88,Hamburguesa mexicana,45,Chorizo y quesillo,'../../../images/cuckoo/p_hamburguesa.jpeg',9
89,Hamburguesa BBQ,48,Queso manchego y salsa BBQ,'../../../images/cuckoo/p_hamburguesa.jpeg',9
90,Hamburguesa doble con queso,50,,'../../../images/cuckoo/p_hamburguesa.jpeg',9
91,Sándwich quesillo,18,,'../../../images/cuckoo/p_club_sandwich.jpeg',9
92,Sándwich quesillo + jamón,22,,'../../../images/cuckoo/p_club_sandwich.jpeg',9
93,Sándwich quesillo + carne a elección,23,,'../../../images/cuckoo/p_club_sandwich.jpeg',9
94,Sándwich BLT,30,"Tocino, manchego y tomate",'../../../images/cuckoo/p_club_sandwich.jpeg',9
95,Sándwich integral,32,"Queso panela, tomate y aguacate",'../../../images/cuckoo/p_club_sandwich.jpeg',9
96,Sándwich verde,32,"Queso panela, aguacate y germinado",'../../../images/cuckoo/p_club_sandwich.jpeg',9
97,Club sándwich,48,,'../../../images/cuckoo/p_club_sandwich.jpeg',9
98,BBQ club sándwich,50,,'../../../images/cuckoo/p_club_sandwich.jpeg',9
99,Buffalo club sándwich,50,,'../../../images/cuckoo/p_club_sandwich.jpeg',9
100,Papas a la francesa,40,,'../../../images/cuckoo/p_papas_francesa.jpg',9
101,Cecina asada,58,Servida con ensalada fresca y timbal de arroz,'../../../images/cuckoo/p_cecina_asada.jpg',10
102,Pechuga de pollo a la plancha,58,Servida con ensalada fresca y timbal de arroz,'../../../images/cuckoo/p_pechuga_pollo_plancha.jpeg',10
103,Pechuga de pollo gratinada,62,Servida con ensalada fresca y timbal de arroz,'../../../images/cuckoo/p_pechuga_pollo_gratinada.jpg',10
104,Tasajo asado,69,Servida con ensalada fresca y timbal de arroz,'../../../images/cuckoo/p_tasajo_asado.jpg',10
105,Tampiqueña de res,69,Con mini taquitos dorados y queso asado,'../../../images/cuckoo/p_tampiquena_res.jpg',10
106,Tampiqueña de res,69,Con mini taquitos dorados y queso asado,'../../../images/cuckoo/p_tampiquena_res_toreada.jpg',10
107,Pasta boloñesa,49,,'../../../images/cuckoo/p_bolonesa.jpg',11
108,Pasta arrabiata,59,,'../../../images/cuckoo/p_arrabiata.jpg',11
109,Alambres,63,,https://rawcdn.githack.com/AdanYairJS/AnahuacLifeApp/e1447b54be16cb89b7c425452a6c321bfe11225e/images/cuckoo/p_alambre_bistec.jpg,12
110,Queso fundido,60,,'../../../images/cuckoo/p_queso_fundido_pastor.jpeg',13
111,Clásica empanizada,50,"Milanesa de pollo, servida con ensalada fresca y timbal de arroz",'../../../images/cuckoo/p_milanesa_clasica.jpeg',14
112,Italiana,65,Manchego + salsa italiana,'../../../images/cuckoo/p_milanesa_italiana.jpg',14
113,Capresse,65,Manchego + tomate y albahaca,'../../../images/cuckoo/p_milanesa_capresse.jpeg',14
114,Napolitana,68,Manchego + jamón y salsa italiana,'../../../images/cuckoo/p_milanesa_napolitana.jpeg',14
115,Hawaiana,68,Manchego + jamón y piña,'../../../images/cuckoo/p_milanesa_hawaiana.jpeg',14
116,Pepperoni,68,Manchego + pepperoni,'../../../images/cuckoo/p_milanesa_pepperoni.jpg',14
117,Morrón,68,Manchego + pimientos,'../../../images/cuckoo/p_milanesa_morron.jpg',14
118,Ensalada capresse,28,,'../../../images/cuckoo/p_ensalada_capresse.jpeg',15
119,Café del día,15,,'../../../images/cuckoo/p_cafe_dia.jpeg',16
120,Espresso,20,,'../../../images/cuckoo/p_cafe_ espresso.jpeg',16
121,Americano,20,,'../../../images/cuckoo/p_cafe_americano.jpeg',16
122,Capuchino,30,,'../../../images/cuckoo/p_cafe_capuchino.jpeg',16
123,Latte,33,,'../../../images/cuckoo/p_cafe_latte.jpeg',16
124,Mocha,35,,'../../../images/cuckoo/p_cafe_mocha.jpeg',16
125,Caramel Blend Macchiato,40,,'../../../images/cuckoo/p_caramel_blend_macchiato.jpeg',16
126,Cajeta Capuchino,40,,'../../../images/cuckoo/p_cajeta_capuchino.jpeg',16
127,Chocolate de Agua,28,,'../../../images/cuckoo/p_chocolate_agua.jpeg',16
128,Chocolate de Leche,32,,'../../../images/cuckoo/p_chocolate_leche.jpeg',16
129,Americano Helado,28,,'../../../images/cuckoo/p_americano_helado.jpeg',17
130,Latte Helado,35,,'../../../images/cuckoo/p_latte_helado.jpeg',17
131,Mocha Helado,38,,'../../../images/cuckoo/p_mocha_helado.jpeg',17
132,Cold Brew,35,,'../../../images/cuckoo/p_cold_brew.jpeg',17
133,Vanilla Cold Brew,39,,'../../../images/cuckoo/p_vanilla_cold_brew.jpeg',17
134,Frappé Original,48,,'../../../images/cuckoo/p_frappe_original.jpeg',18
135,Frappé Nutella,50,,'../../../images/cuckoo/p_frappe_nutella.jpeg',18
136,Frappé Cajeta,50,,'../../../images/cuckoo/p_frappe_cajeta.jpeg',18
137,Frappé Mocha,50,,'../../../images/cuckoo/p_frappe_mocha.jpeg',18
138,Frappé Oreo,52,,'../../../images/cuckoo/p_frappe_oreo.jpeg',18
139,Smoothie Fresa,50,,'../../../images/cuckoo/p_smoothie_fresa.jpeg',19
140,Smoothie Moras,50,,'../../../images/cuckoo/p_smoothie_moras.jpeg',19
141,Smoothie Mango,50,,'../../../images/cuckoo/p_smoothie_mango.jpeg',19
142,Smoothie Piña,50,,'../../../images/cuckoo/p_smoothie_piña.jpeg',19
143,Smoothie Chamoyada,52,,'../../../images/cuckoo/p_smoothie_chamoyada.jpeg',19
144,Manzana Verde,39,,'../../../images/cuckoo/p_soda_manzana_verde.jpeg',20
145,Grosella,39,,'../../../images/cuckoo/p_soda_grosella.jpeg',20
146,Blueberry,39,,'../../../images/cuckoo/p_soda_blueberry.jpeg',20
147,Frambuesa,39,,'../../../images/cuckoo/p_soda_frambuesa.jpeg',20
148,Verde,28,,'../../../images/cuckoo/p_te_verde.jpeg',21
149,Verde Jasmín,28,,'../../../images/cuckoo/p_te_verde_jasmin.jpeg',21
150,Blanco,28,,'../../../images/cuckoo/p_te_blanco.jpeg',21
151,Negro,28,,'../../../images/cuckoo/p_te_negro.jpeg',21
152,Manzanilla Lavanda,28,,'../../../images/cuckoo/p_te_manzanilla_lavanda.jpeg',21
153,Hierbabuena,28,,'../../../images/cuckoo/p_te_hierbabuena.jpeg',21
154,Tango Mango,28,,'../../../images/cuckoo/p_tango_mango.jpeg',22
155,Moras de la Selva,28,,'../../../images/cuckoo/p_moras_selva.jpeg',22
156,Fruta del Dragón,28,,'../../../images/cuckoo/p_fruta_dragon.jpeg',22
157,Ponche de Guayaba,28,,'../../../images/cuckoo/p_ponche_guayaba.jpeg',22
158,Manzana Arandano,28,,'../../../images/cuckoo/p_manzana_arandano.jpeg',22
