id_subseccion,nombre,id_seccion
1,Huevos,1
2,Maiz,1
3,Dulce,1
4,Pan,1
5,Bebidas,1
6,Rincón Oaxaqueño,2
7,Tortas,2
8,Tortas Especiales,2
9,Snacks,2
10,Carnes,3
11,Pastas,3
12,Alambres,3
13,Queso fundido,3
14,Milanesas Cuckoo,3
15,Ensaladas,3
16,Bebidas Calientes,4
17,Bebidas Heladas,4
18,Bebidas Frappé,4
19,Smoothies,4
20,Sodas Italianas,4
21,Tés,4
22,Tisanas,4
23,Limonadas Cuckoo,4
24,Ensaladas,4
25,Bebidas Calientes con Café,5
26,Bebidas Heladas con Café,5
27,Personalización,5
28,Bebidas Calientes sin Café,6
29,Bebidas Heladas sin Café,6
30,Limonadas Cuckoo,6
31,Sandwich,7
32,Ensaladas,7
33,Ciabattas,7
34,Healthy Burgers,7
35,Para las mañanas,7
36,Café Recien Molido,7
37,Jugos Cold Press,7
38,Smoothies,7
39,Antojos,7
40,Cold Teas,7
41,Combos,7
